LON,LAT,PLOTID
-87.43645835,14.38020821,48
-87.39687501,14.40729155,47
-87.41354168,14.41562488,46
-87.50729168,14.43229155,44
-87.50312501,14.43229155,45
-87.55520835,14.43645821,43
-87.56145835,14.43854155,38
-87.55937501,14.43854155,39
-87.55729168,14.43854155,40
-87.55520835,14.43854155,41
-87.55312501,14.43854155,42
-87.53854168,14.45729155,37
-87.54062501,14.45937488,35
-87.52395835,14.45937488,36
-87.53854168,14.46145821,33
-87.53645835,14.46145821,34
-87.61354168,14.46562488,31
-87.56979168,14.46562488,32
-87.61354168,14.48020821,30
-87.57395835,14.48645821,28
-87.45729168,14.48645821,29
-87.57604168,14.48854155,26
-87.57395835,14.48854155,27
-87.58020835,14.49062488,20
-87.57812501,14.49062488,21
-87.57604168,14.49062488,22
-87.56562501,14.49062488,23
-87.54479168,14.49062488,24
-87.45937501,14.49062488,25
-87.55937501,14.49479155,19
-87.57187501,14.50937488,18
-87.55312501,14.51770821,17
-87.56145835,14.51979155,12
-87.55937501,14.51979155,13
-87.55729168,14.51979155,14
-87.55520835,14.51979155,15
-87.55312501,14.51979155,16
-87.55312501,14.53020821,11
-87.59479168,14.54895821,10
-87.55729168,14.55104155,9
-87.56354168,14.55312488,7
-87.55729168,14.55312488,8
-87.56770835,14.56770821,5
-87.56562501,14.56770821,6
-87.58854168,14.56979155,3
-87.54270835,14.56979155,4
-87.56979168,14.57395821,1
-87.54895835,14.57395821,2
